Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2019,Ibarra,Imbabura,36354.83333,20509.66667,15845.16667,681.0372976,668.7187246,697.0016123,1306460634,55595874.88,846082930,216440,102,3909.087646,-1.313179635,-1.579595972
2020,Ibarra,Imbabura,33938.58333,19023.08333,14915.5,680.3887674,661.0106252,705.0718638,1008827525,48235019.51,708985360,219063,102,3236.445041,-17.20715076,-16.86855161
2021,Ibarra,Imbabura,33788.5,18646.5,15142,695.7493733,677.7902679,717.8555247,1231320221,57090619.35,730790540,221282,196,3302.530436,2.041913103,1.900482344
2022,Ibarra,Imbabura,35072,19398.83333,15673.16667,712.4063975,693.8750865,735.3841349,1367971636,69732403.5,840817470,223545,211,3761.289539,13.89113928,10.4273183
2023,Ibarra,Imbabura,35493.83333,19467.16667,16026.66667,745.6339417,725.7265676,769.9075368,1462298010,70317766.83,925940000,225970,211,4097.623578,8.941987471,6.721816649
2024,Ibarra,Imbabura,34933.5,19196.08333,15737.41667,757.7217255,735.2242076,785.1876984,1384881613,68390058.98,,,203,,,
2019,Antonio Ante,Imbabura,5625.166667,3089.916667,2535.25,535.5162659,566.7886556,497.4097977,193335171.4,7939851.672,159090880,52331,6,3040.088666,1.175374982,0.908958645
2020,Antonio Ante,Imbabura,4530.333333,2539.833333,1990.5,520.3671856,543.9588623,490.5555903,146574220.4,7605886.22,130177180,53121,11,2450.578491,-19.39121652,-19.05261736
2021,Antonio Ante,Imbabura,4175.5,2349.25,1826.25,540.2232045,554.3375244,521.9845327,189395012.8,8818261.45,111468490,53813,27,2071.404493,-15.47283626,-15.61426702
2022,Antonio Ante,Imbabura,4436,2495.333333,1940.666667,552.3369904,553.8462728,550.4200185,212402402.1,10244345.03,122957820,54513,27,2255.568763,8.890792246,5.426971262
2023,Antonio Ante,Imbabura,4435.166667,2505,1930.166667,595.5775604,597.3242493,593.3265228,206240262.4,10090870.75,135274850,55251,32,2448.36926,8.547755227,6.327584405
2024,Antonio Ante,Imbabura,4155.25,2297.833333,1857.416667,605.8078664,612.0231323,598.0833384,190191254.2,9089585.785,,,26,,,
2019,Cotacachi,Imbabura,6474.166667,3551.916667,2922.25,564.385849,545.0740814,588.0003662,109483038.6,2715509.134,160398510,53517,4,2997.150625,-2.476655404,-2.74307174
2020,Cotacachi,Imbabura,5858.75,3192.916667,2665.833333,570.93352,553.4179637,591.874527,90786293.26,1885678.36,132382040,54116,10,2446.264321,-18.38033429,-18.04173513
2021,Cotacachi,Imbabura,6039.916667,3282.75,2757.166667,568.4888815,550.0340118,590.4599101,112902544.1,2359684.75,136639510,54615,11,2501.867802,2.272995617,2.131564858
2022,Cotacachi,Imbabura,6567.5,3535.25,3032.25,586.8580271,564.3161163,613.0870717,121529217.4,2916358.07,149703530,55125,25,2715.710295,8.54731384,5.083492856
2023,Cotacachi,Imbabura,6756.416667,3611.166667,3145.25,624.7243398,598.3815562,655.0615285,131103795.7,3110345.83,160462580,55674,29,2882.181629,6.12993714,3.909766318
2024,Cotacachi,Imbabura,6943.75,3694.583333,3249.166667,636.0903625,611.0378265,664.5736084,147162164.9,3001851.09,,,12,,,
2019,Otavalo,Imbabura,11593.25,6097.583333,5495.666667,672.3300578,653.2572021,693.4786428,300033633.3,42049986.89,345061640,119565,10,2885.975327,0.642088463,0.375672127
2020,Otavalo,Imbabura,10599.58333,5536.083333,5063.5,682.8077501,657.9871318,710.1720886,226861456.2,38247761.04,279096300,119931,18,2327.140606,-19.363808,-19.02520885
2021,Otavalo,Imbabura,10220.08333,5439.916667,4780.166667,702.4169399,680.0887451,727.805069,299586928.7,39835120.63,310497180,120072,30,2585.924945,11.12027088,10.97884012
2022,Otavalo,Imbabura,10778.58333,5844.75,4933.833333,721.9076385,694.2823842,754.549413,332887190.6,49429336.24,348217980,120237,33,2896.096709,11.99461587,8.530794891
2023,Otavalo,Imbabura,11172.33333,6048.416667,5123.916667,773.9347687,737.402949,817.0757955,377203964.8,41469817.83,368724380,120495,58,3060.080335,5.66222895,3.442058128
2024,Otavalo,Imbabura,10924.25,5846.083333,5078.166667,797.3952484,768.6604665,830.4420013,346488873,41019746.09,,,52,,,
